"id","group","name","type","kanji.name","kana.name","lat.d","lat.m","lon.d","lon.m","height","rem1","rem2","rem3","rem4","rem5"
114,20,"Shikaoi","a1","鹿追","シカオイ",43,6.2,142,59.7,206,"","","",NA,NA
115,20,"Memuro","a1","芽室","メムロ",42,54,143,2.6,90,"","","",NA,NA
47417,20,"Obihiro","s1","帯広","オビヒロ",42,55.3,143,12.7,38.4,"","","",NA,NA
117,20,"Ikeda","a1","池田","イケダ",42,55.2,143,27.5,42,"","","",NA,NA
118,20,"Urahoro","a1","浦幌","ウラホロ",42,48.5,143,39.4,20,"","","",NA,NA
119,20,"Obihirodake","a1","帯広岳","オビヒロダケ",42,44.8,142,56,440,"","","",NA,NA
120,20,"Hyoutanzawa","a1","ひょうたん沢","ヒョウタンザワ",42,35.8,143,3.8,380,"","","",NA,NA
121,20,"Taiki","a1","大樹","タイキ",42,30,143,16.4,87,"","","",NA,NA
47440,20,"Hiroo","s1","広尾","ヒロオ",42,17.6,143,19,32.4,"","","",NA,NA
1099,20,"Mikuniyama","a1","三国山","ミクニヤマ",43,34.1,143,8.4,940,"","","",NA,NA
1204,20,"Komaba","a1","駒場","コマバ",43,3,143,11,112,"","","",NA,NA
1210,20,"Kamisatsunai","a1","上札内","カミサツナイ",42,38.5,143,5.8,251,"","","",NA,NA
1211,20,"Sarabetsu","a1","更別","サラベツ",42,39.1,143,11.7,185,"","","",NA,NA
1214,20,"Ootsu","a1","大津","オオツ",42,41.1,143,38.8,4,"","","",NA,NA
1286,20,"Nukanai","a1","糠内","ヌカナイ",42,47.2,143,19.7,70,"","","",NA,NA
1404,20,"Shoutoshibetsu","a1","小利別","ショウトシベツ",43,35.3,143,40.8,313,"","","",NA,NA
1405,20,"Oshoppu","a1","押帯","オショップ",43,6.9,143,26.6,104,"","","",NA,NA
1409,20,"Kashiwakura","a1","柏倉","カシワクラ",43,21.7,143,27.5,378,"","","",NA,NA
1410,20,"Kamirawan","a1","上螺湾","カミラワン",43,19.1,143,48.1,232,"","","",NA,NA
1418,20,"Rushin","a1","留真","ルシン",42,55,143,39.7,40,"","","",NA,NA
1510,20,"Obihiroizumi","a1","帯広泉","オビヒロイズミ",42,44,143,13,149,"","","",NA,NA
1571,20,"Mitsumata","a1","三股","ミツマタ",43,30.6,143,8.9,660,"","","",NA,NA
123,21,"Abira","a1","安平","アビラ",42,48.8,141,49.7,32,"","","",NA,NA
124,21,"Atsuma","a1","厚真","アツマ",42,43.8,141,53.3,20,"","","",NA,NA
125,21,"Hobetsu","a1","穂別","ホベツ",42,45.7,142,8.6,56,"","","",NA,NA
126,21,"Morino","a1","森野","モリノ",42,37.8,141,14.8,170,"","","",NA,NA
47424,21,"Tomakomai","s1","苫小牧","トマコマイ",42,37.4,141,32.8,6.3,"","","",NA,NA
128,21,"Ookishi","a1","大岸","オオキシ",42,35.4,140,38.6,8,"","","",NA,NA
129,21,"Ususan","a1","有珠山","ウスサン",42,31.9,140,51.2,281,"","","",NA,NA
130,21,"Shiraoi","a1","白老","シラオイ",42,32.6,141,21.1,6,"","","",NA,NA
131,21,"Mukawa","a1","鵡川","ムカワ",42,35.4,141,56,10,"","","",NA,NA
132,21,"Date","a1","伊達","ダテ",42,28.4,140,52.6,16,"","","",NA,NA
133,21,"Noboribetsuyama","a1","登別山","ノボリベツヤマ",42,30,141,7.3,579,"","","",NA,NA
134,21,"Noboribetsu","a1","登別","ノボリベツ",42,27.5,141,7.1,197,"","","",NA,NA
47423,21,"Muroran","s1","室蘭","ムロラン",42,18.7,140,58.5,39.9,"","","",NA,NA
1067,21,"Ootaki","a1","大滝","オオタキ",42,40.2,141,4.7,390,"","","",NA,NA
1329,21,"Touyakoonsen","a1","洞爺湖温泉","トウヤコオンセン",42,33.9,140,48.4,85,"","","",NA,NA
1429,21,"Karurusu","a1","カルルス","カルルス",42,31,141,6.4,300,"","","",NA,NA
1496,21,"Toyoura","a1","豊浦","トヨウラ",42,35,140,42.5,5,"","","",NA,NA
1498,21,"Hanawa","a1","花和","ハナワ",42,37,140,45.4,282,"","","",NA,NA
1499,21,"Abuta","a1","虻田","アブタ",42,33,140,46,15,"","","",NA,NA
1500,21,"Soubetsu","a1","壮瞥","ソウベツ",42,33.3,140,51.2,110,"","","",NA,NA
1501,21,"Irie","a1","入江","イリエ",42,32.6,140,47.1,38,"","","",NA,NA
1502,21,"Tsukiura","a1","月浦","ツキウラ",42,35.5,140,47.3,97,"","","",NA,NA
1503,21,"Kitausu","a1","北有珠","キタウス",42,31.3,140,50,165,"","","",NA,NA
1504,21,"Touyakohan","a1","洞爺湖畔","トウヤコハン",42,34.1,140,48.1,105,"","","",NA,NA
136,22,"Hidakamonbetsu","a1","日高門別","ヒダカモンベツ",42,31.3,142,2.2,10,"","","",NA,NA
137,22,"Shinwa","a1","新和","シンワ",42,32.6,142,20,60,"","","",NA,NA
138,22,"Numotoruyama","a1","ヌモトル山","ヌモトルヤマ",42,36,142,23.7,613,"","","",NA,NA
139,22,"Sasayama","a1","笹山","ササヤマ",42,26,142,28.9,110,"","","",NA,NA
140,22,"Shizunai","a1","静内","シズナイ",42,20.6,142,21.7,10,"","","",NA,NA
141,22,"Pisenaiyama","a1","ピセナイ山","ピセナイヤマ",42,21.3,142,39.5,500,"","","",NA,NA
47426,22,"Urakawa","s1","浦河","ウラカワ",42,9.7,142,46.6,36.7,"","","",NA,NA
1097,22,"Niseu","a1","仁世宇","ニセウ",42,46.3,142,21.5,150,"","","",NA,NA
1198,22,"Mitsuishi","a1","三石","ミツイシ",42,14.7,142,39.7,10,"","","",NA,NA
1202,22,"Hidaka","a1","日高","ヒダカ",42,52.6,142,26.5,280,"","","",NA,NA
1264,22,"Horoman","a1","幌満","ホロマン",42,4.6,143,2.1,0,"","","",NA,NA
1276,22,"Meguro","a1","目黒","メグロ",42,7.6,143,18.8,17,"","","",NA,NA
1288,22,"Nakakineusu","a1","中杵臼","ナカキネウス",42,13.4,142,56.9,80,"","","",NA,NA
1340,22,"Erimomisaki","a1","えりも岬","エリモミサキ",41,55.5,143,14.6,63,"","","",NA,NA
1430,22,"Asahi","a1","旭","アサヒ",42,37.7,142,23.6,245,"","","",NA,NA
1594,22,"Biratori","a1","平取","ビラトリ",42,36.4,142,8.8,44,"","","",NA,NA
143,23,"Oshamanbe","a1","長万部","オシャマンベ",42,31.4,140,22.9,10,"","","",NA,NA
144,23,"Yakumo","a1","八雲","ヤクモ",42,15.1,140,16.3,8,"","","",NA,NA
145,23,"Mori","a1","森","モリ",42,4,140,35.3,125,"","","",NA,NA
146,23,"Oonuma","a1","大沼","オオヌマ",41,58.6,140,42.9,165,"","","",NA,NA
147,23,"Kakkumi","a1","川汲","カックミ",41,54.3,140,58.2,25,"2004年12月5日までの地点名「南茅部」","","",NA,NA
148,23,"Hokuto","a1","北斗","ホクト",41,53.2,140,39.2,25,"2006年1月31日までの地点名「大野」","","",NA,NA
47430,23,"Hakodate","s1","函館","ハコダテ",41,49,140,45.2,35,"","","",NA,NA
